SchoolName,StudentGroup,GradeLevel,TestAdministration,TestSubject,Percent Consistent Grade Level Knowledge And Above
Bailey Gatzert,All Students,All Grades,SBAC,ELA,38.8%
Bailey Gatzert,English Language Learners,All Grades,SBAC,Math,16.4%
Bailey Gatzert,English Language Learners,All Grades,SBAC,ELA,29.6%
Bailey Gatzert,Non-English Language Learners,All Grades,SBAC,Math,43.6%
Bailey Gatzert,Non-English Language Learners,All Grades,SBAC,ELA,43.1%
Bailey Gatzert,Low-Income,All Grades,SBAC,Math,31.8%
Bailey Gatzert,Low-Income,All Grades,SBAC,ELA,36.2%
Bailey Gatzert,Non-Low Income,All Grades,SBAC,ELA,57.1%
Bailey Gatzert,Non-Low Income,All Grades,SBAC,Math,57.1%
Bailey Gatzert,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,47.1%
Bailey Gatzert,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,41.2%
Bailey Gatzert,White,All Grades,SBAC,ELA,64.0%
Bailey Gatzert,White,All Grades,SBAC,Math,56.0%
Beacon Hill,All Students,All Grades,SBAC,Math,64.8%
Beacon Hill,All Students,All Grades,SBAC,ELA,55.3%
Beacon Hill,English Language Learners,All Grades,SBAC,Math,36.0%
Beacon Hill,English Language Learners,All Grades,SBAC,ELA,19.4%
Beacon Hill,Non-English Language Learners,All Grades,SBAC,ELA,79.4%
Beacon Hill,Non-English Language Learners,All Grades,SBAC,Math,85.1%
Beacon Hill,Low-Income,All Grades,SBAC,ELA,30.2%
Beacon Hill,Low-Income,All Grades,SBAC,Math,45.4%
Beacon Hill,Non-Low Income,All Grades,SBAC,Math,87.1%
Beacon Hill,Non-Low Income,All Grades,SBAC,ELA,84.3%
Beacon Hill,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,27.4%
Beacon Hill,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,30.2%
Beacon Hill,White,All Grades,SBAC,ELA,>90%
Beacon Hill,White,All Grades,SBAC,Math,>90%
Bryant,All Students,All Grades,SBAC,ELA,81.9%
Bryant,All Students,All Grades,SBAC,Math,76.4%
Bryant,English Language Learners,All Grades,SBAC,Math,N<10
Bryant,English Language Learners,All Grades,SBAC,ELA,N<10
Bryant,Non-English Language Learners,All Grades,SBAC,ELA,82.4%
Bryant,Non-English Language Learners,All Grades,SBAC,Math,76.7%
Bryant,Low-Income,All Grades,SBAC,ELA,41.7%
Bryant,Low-Income,All Grades,SBAC,Math,41.7%
Bryant,Non-Low Income,All Grades,SBAC,ELA,84.2%
Bryant,Non-Low Income,All Grades,SBAC,Math,78.4%
Bryant,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,58.3%
Bryant,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,58.3%
Bryant,White,All Grades,SBAC,Math,75.2%
Bryant,White,All Grades,SBAC,ELA,82.6%
Cascadia,All Students,All Grades,SBAC,Math,>99%
Cascadia,All Students,All Grades,SBAC,ELA,97.3%
Cascadia,Non-English Language Learners,All Grades,SBAC,ELA,97.3%
Cascadia,Non-English Language Learners,All Grades,SBAC,Math,>99%
Cascadia,Low-Income,All Grades,SBAC,ELA,>86%
Cascadia,Low-Income,All Grades,SBAC,Math,>86%
Cascadia,Non-Low Income,All Grades,SBAC,Math,>99%
Cascadia,Non-Low Income,All Grades,SBAC,ELA,97.7%
Cascadia,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,>88%
Cascadia,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,>88%
Cascadia,White,All Grades,SBAC,ELA,98.2%
Cascadia,White,All Grades,SBAC,Math,>98%
Cedar Park,All Students,All Grades,SBAC,ELA,77.0%
Cedar Park,All Students,All Grades,SBAC,Math,69.0%
Cedar Park,English Language Learners,All Grades,SBAC,Math,27.3%
Cedar Park,English Language Learners,All Grades,SBAC,ELA,45.5%
Cedar Park,Non-English Language Learners,All Grades,SBAC,ELA,80.4%
Cedar Park,Non-English Language Learners,All Grades,SBAC,Math,73.5%
Cedar Park,Low-Income,All Grades,SBAC,ELA,52.4%
Cedar Park,Low-Income,All Grades,SBAC,Math,42.9%
Cedar Park,Non-Low Income,All Grades,SBAC,ELA,82.6%
Cedar Park,Non-Low Income,All Grades,SBAC,Math,75.0%
Cedar Park,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,42.9%
Cedar Park,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,50.0%
Cedar Park,White,All Grades,SBAC,ELA,86.4%
Cedar Park,White,All Grades,SBAC,Math,71.2%
Concord,All Students,All Grades,SBAC,ELA,19.4%
Concord,All Students,All Grades,SBAC,Math,11.9%
Concord,English Language Learners,All Grades,SBAC,Math,4.1%
Concord,English Language Learners,All Grades,SBAC,ELA,5.9%
Concord,Non-English Language Learners,All Grades,SBAC,Math,21.7%
Concord,Non-English Language Learners,All Grades,SBAC,ELA,34.4%
Concord,Low-Income,All Grades,SBAC,ELA,7.2%
Concord,Low-Income,All Grades,SBAC,Math,4.7%
Concord,Non-Low Income,All Grades,SBAC,Math,24.5%
Concord,Non-Low Income,All Grades,SBAC,ELA,41.3%
Concord,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,6.8%
Concord,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,<4%
Concord,White,All Grades,SBAC,ELA,47.4%
Concord,White,All Grades,SBAC,Math,36.8%
Daniel Bagley,All Students,All Grades,SBAC,ELA,70.3%
Daniel Bagley,All Students,All Grades,SBAC,Math,63.8%
Daniel Bagley,English Language Learners,All Grades,SBAC,Math,18.2%
Daniel Bagley,English Language Learners,All Grades,SBAC,ELA,15.0%
Daniel Bagley,Non-English Language Learners,All Grades,SBAC,ELA,78.3%
Daniel Bagley,Non-English Language Learners,All Grades,SBAC,Math,71.0%
Daniel Bagley,Low-Income,All Grades,SBAC,Math,27.8%
Daniel Bagley,Low-Income,All Grades,SBAC,ELA,29.4%
Daniel Bagley,Non-Low Income,All Grades,SBAC,Math,74.2%
Daniel Bagley,Non-Low Income,All Grades,SBAC,ELA,81.5%
Daniel Bagley,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,25.0%
Daniel Bagley,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,26.7%
Daniel Bagley,White,All Grades,SBAC,Math,78.8%
Daniel Bagley,White,All Grades,SBAC,ELA,85.9%
Dearborn Park,All Students,All Grades,SBAC,Math,60.7%
Dearborn Park,All Students,All Grades,SBAC,ELA,55.3%
Dearborn Park,English Language Learners,All Grades,SBAC,ELA,41.8%
Dearborn Park,English Language Learners,All Grades,SBAC,Math,55.7%
Dearborn Park,Non-English Language Learners,All Grades,SBAC,ELA,65.9%
Dearborn Park,Non-English Language Learners,All Grades,SBAC,Math,64.7%
Dearborn Park,Low-Income,All Grades,SBAC,Math,53.3%
Dearborn Park,Low-Income,All Grades,SBAC,ELA,50.0%
Dearborn Park,Non-Low Income,All Grades,SBAC,ELA,66.0%
Dearborn Park,Non-Low Income,All Grades,SBAC,Math,76.0%
Dearborn Park,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,35.7%
Dearborn Park,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,42.9%
Dearborn Park,White,All Grades,SBAC,ELA,>80%
Dearborn Park,White,All Grades,SBAC,Math,73.3%
Dunlap,All Students,All Grades,SBAC,ELA,47.1%
Dunlap,All Students,All Grades,SBAC,Math,34.7%
Dunlap,English Language Learners,All Grades,SBAC,ELA,18.9%
Dunlap,English Language Learners,All Grades,SBAC,Math,18.2%
Dunlap,Non-English Language Learners,All Grades,SBAC,ELA,69.7%
Dunlap,Non-English Language Learners,All Grades,SBAC,Math,48.5%
Dunlap,Low-Income,All Grades,SBAC,ELA,43.8%
Dunlap,Low-Income,All Grades,SBAC,Math,28.0%
Dunlap,Non-Low Income,All Grades,SBAC,ELA,71.4%
Dunlap,Non-Low Income,All Grades,SBAC,Math,>79%
Dunlap,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,25.0%
Dunlap,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,14.3%
Dunlap,White,All Grades,SBAC,Math,<27%
Dunlap,White,All Grades,SBAC,ELA,<30%
Emerson,All Students,All Grades,SBAC,ELA,26.0%
Emerson,All Students,All Grades,SBAC,Math,24.8%
Emerson,English Language Learners,All Grades,SBAC,Math,14.1%
Emerson,English Language Learners,All Grades,SBAC,ELA,21.5%
Emerson,Non-English Language Learners,All Grades,SBAC,ELA,29.4%
Emerson,Non-English Language Learners,All Grades,SBAC,Math,32.9%
Emerson,Low-Income,All Grades,SBAC,Math,21.3%
Emerson,Low-Income,All Grades,SBAC,ELA,24.4%
Emerson,Non-Low Income,All Grades,SBAC,Math,40.7%
Emerson,Non-Low Income,All Grades,SBAC,ELA,33.3%
Emerson,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,17.7%
Emerson,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,22.9%
Emerson,White,All Grades,SBAC,ELA,26.7%
Emerson,White,All Grades,SBAC,Math,33.3%
Fairmount Park,All Students,All Grades,SBAC,ELA,73.7%
Fairmount Park,All Students,All Grades,SBAC,Math,74.2%
Fairmount Park,English Language Learners,All Grades,SBAC,ELA,30.8%
Fairmount Park,English Language Learners,All Grades,SBAC,Math,23.1%
Fairmount Park,Non-English Language Learners,All Grades,SBAC,ELA,76.9%
Fairmount Park,Non-English Language Learners,All Grades,SBAC,Math,78.0%
Fairmount Park,Low-Income,All Grades,SBAC,ELA,40.5%
Fairmount Park,Low-Income,All Grades,SBAC,Math,48.8%
Fairmount Park,Non-Low Income,All Grades,SBAC,ELA,83.3%
Fairmount Park,Non-Low Income,All Grades,SBAC,Math,81.4%
Fairmount Park,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,79.0%
Fairmount Park,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,57.9%
Fairmount Park,White,All Grades,SBAC,ELA,78.0%
Fairmount Park,White,All Grades,SBAC,Math,74.3%
Frantz Coe,All Students,All Grades,SBAC,ELA,90.6%
Frantz Coe,All Students,All Grades,SBAC,Math,88.7%
Frantz Coe,English Language Learners,All Grades,SBAC,Math,30.0%
Frantz Coe,English Language Learners,All Grades,SBAC,ELA,30.0%
Frantz Coe,Non-English Language Learners,All Grades,SBAC,ELA,93.6%
Frantz Coe,Non-English Language Learners,All Grades,SBAC,Math,91.6%
Frantz Coe,Low-Income,All Grades,SBAC,ELA,63.3%
Frantz Coe,Low-Income,All Grades,SBAC,Math,60.0%
Frantz Coe,Non-Low Income,All Grades,SBAC,ELA,95.1%
Frantz Coe,Non-Low Income,All Grades,SBAC,Math,93.4%
Frantz Coe,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,>81%
Frantz Coe,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,81.3%
Frantz Coe,White,All Grades,SBAC,ELA,90.5%
Frantz Coe,White,All Grades,SBAC,Math,87.6%
Gatewood,All Students,All Grades,SBAC,ELA,64.0%
Gatewood,All Students,All Grades,SBAC,Math,61.8%
Gatewood,English Language Learners,All Grades,SBAC,Math,N<10
Gatewood,English Language Learners,All Grades,SBAC,ELA,N<10
Gatewood,Non-English Language Learners,All Grades,SBAC,Math,63.0%
Gatewood,Non-English Language Learners,All Grades,SBAC,ELA,65.9%
Gatewood,Low-Income,All Grades,SBAC,Math,17.2%
Gatewood,Low-Income,All Grades,SBAC,ELA,34.5%
Gatewood,Non-Low Income,All Grades,SBAC,ELA,69.8%
Gatewood,Non-Low Income,All Grades,SBAC,Math,70.5%
Gatewood,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,42.9%
Gatewood,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,35.7%
Gatewood,White,All Grades,SBAC,ELA,69.9%
Gatewood,White,All Grades,SBAC,Math,68.3%
Genesee Hill,All Students,All Grades,SBAC,Math,73.5%
Genesee Hill,All Students,All Grades,SBAC,ELA,78.1%
Genesee Hill,English Language Learners,All Grades,SBAC,ELA,30.0%
Genesee Hill,English Language Learners,All Grades,SBAC,Math,30.0%
Genesee Hill,Non-English Language Learners,All Grades,SBAC,ELA,80.0%
Genesee Hill,Non-English Language Learners,All Grades,SBAC,Math,75.2%
Genesee Hill,Low-Income,All Grades,SBAC,Math,34.6%
Genesee Hill,Low-Income,All Grades,SBAC,ELA,42.3%
Genesee Hill,Non-Low Income,All Grades,SBAC,ELA,82.1%
Genesee Hill,Non-Low Income,All Grades,SBAC,Math,77.8%
Genesee Hill,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,73.1%
Genesee Hill,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,76.9%
Genesee Hill,White,All Grades,SBAC,ELA,81.6%
Genesee Hill,White,All Grades,SBAC,Math,76.5%
Graham Hill,All Students,All Grades,SBAC,ELA,38.3%
Graham Hill,All Students,All Grades,SBAC,Math,32.8%
Graham Hill,English Language Learners,All Grades,SBAC,ELA,16.7%
Graham Hill,English Language Learners,All Grades,SBAC,Math,14.3%
Graham Hill,Non-English Language Learners,All Grades,SBAC,Math,46.3%
Graham Hill,Non-English Language Learners,All Grades,SBAC,ELA,53.7%
Graham Hill,Low-Income,All Grades,SBAC,ELA,15.0%
Graham Hill,Low-Income,All Grades,SBAC,Math,18.0%
Graham Hill,Non-Low Income,All Grades,SBAC,ELA,63.6%
Graham Hill,Non-Low Income,All Grades,SBAC,Math,49.1%
Graham Hill,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,17.9%
Graham Hill,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,17.2%
Graham Hill,White,All Grades,SBAC,ELA,65.2%
Graham Hill,White,All Grades,SBAC,Math,52.2%
Green Lake,All Students,All Grades,SBAC,ELA,52.9%
Green Lake,All Students,All Grades,SBAC,Math,54.8%
Green Lake,English Language Learners,All Grades,SBAC,ELA,20.0%
Green Lake,English Language Learners,All Grades,SBAC,Math,36.4%
Green Lake,Non-English Language Learners,All Grades,SBAC,ELA,57.9%
Green Lake,Non-English Language Learners,All Grades,SBAC,Math,57.9%
Green Lake,Low-Income,All Grades,SBAC,ELA,20.0%
Green Lake,Low-Income,All Grades,SBAC,Math,21.7%
Green Lake,Non-Low Income,All Grades,SBAC,Math,68.8%
Green Lake,Non-Low Income,All Grades,SBAC,ELA,66.7%
Green Lake,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,27.3%
Green Lake,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,45.5%
Green Lake,White,All Grades,SBAC,ELA,65.1%
Green Lake,White,All Grades,SBAC,Math,65.5%
Greenwood,All Students,All Grades,SBAC,ELA,86.3%
Greenwood,All Students,All Grades,SBAC,Math,76.7%
Greenwood,English Language Learners,All Grades,SBAC,ELA,N<10
Greenwood,English Language Learners,All Grades,SBAC,Math,N<10
Greenwood,Non-English Language Learners,All Grades,SBAC,Math,77.3%
Greenwood,Non-English Language Learners,All Grades,SBAC,ELA,86.5%
Greenwood,Low-Income,All Grades,SBAC,ELA,30.8%
Greenwood,Low-Income,All Grades,SBAC,Math,30.8%
Greenwood,Non-Low Income,All Grades,SBAC,ELA,91.7%
Greenwood,Non-Low Income,All Grades,SBAC,Math,81.2%
Greenwood,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,>70%
Greenwood,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,>70%
Greenwood,White,All Grades,SBAC,ELA,88.5%
Greenwood,White,All Grades,SBAC,Math,81.7%
Hawthorne,All Students,All Grades,SBAC,ELA,69.7%
Hawthorne,All Students,All Grades,SBAC,Math,72.6%
Hawthorne,English Language Learners,All Grades,SBAC,ELA,22.2%
Hawthorne,English Language Learners,All Grades,SBAC,Math,25.9%
Hawthorne,Non-English Language Learners,All Grades,SBAC,ELA,78.4%
Hawthorne,Non-English Language Learners,All Grades,SBAC,Math,81.1%
Hawthorne,Low-Income,All Grades,SBAC,Math,50.0%
Hawthorne,Low-Income,All Grades,SBAC,ELA,40.4%
Hawthorne,Non-Low Income,All Grades,SBAC,ELA,82.1%
Hawthorne,Non-Low Income,All Grades,SBAC,Math,82.1%
Hawthorne,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,46.4%
Hawthorne,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,46.4%
Hawthorne,White,All Grades,SBAC,Math,86.5%
Hawthorne,White,All Grades,SBAC,ELA,87.6%
Highland Park,All Students,All Grades,SBAC,ELA,38.9%
Highland Park,All Students,All Grades,SBAC,Math,37.1%
Highland Park,English Language Learners,All Grades,SBAC,ELA,26.8%
Highland Park,English Language Learners,All Grades,SBAC,Math,33.3%
Highland Park,Non-English Language Learners,All Grades,SBAC,ELA,44.4%
Highland Park,Non-English Language Learners,All Grades,SBAC,Math,38.9%
Highland Park,Low-Income,All Grades,SBAC,Math,24.1%
Highland Park,Low-Income,All Grades,SBAC,ELA,28.1%
Highland Park,Non-Low Income,All Grades,SBAC,ELA,57.1%
Highland Park,Non-Low Income,All Grades,SBAC,Math,59.2%
Highland Park,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,23.1%
Highland Park,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,13.2%
Highland Park,White,All Grades,SBAC,ELA,64.3%
Highland Park,White,All Grades,SBAC,Math,53.6%
James Baldwin,All Students,All Grades,SBAC,ELA,41.9%
James Baldwin,All Students,All Grades,SBAC,Math,49.4%
James Baldwin,English Language Learners,All Grades,SBAC,ELA,25.7%
James Baldwin,English Language Learners,All Grades,SBAC,Math,33.3%
James Baldwin,Non-English Language Learners,All Grades,SBAC,ELA,52.9%
James Baldwin,Non-English Language Learners,All Grades,SBAC,Math,60.8%
James Baldwin,Low-Income,All Grades,SBAC,ELA,35.5%
James Baldwin,Low-Income,All Grades,SBAC,Math,41.9%
James Baldwin,Non-Low Income,All Grades,SBAC,ELA,58.3%
James Baldwin,Non-Low Income,All Grades,SBAC,Math,68.0%
James Baldwin,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,37.5%
James Baldwin,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,37.5%
James Baldwin,White,All Grades,SBAC,Math,70.8%
James Baldwin,White,All Grades,SBAC,ELA,65.2%
John Hay,All Students,All Grades,SBAC,Math,51.2%
John Hay,All Students,All Grades,SBAC,ELA,62.3%
John Hay,English Language Learners,All Grades,SBAC,ELA,33.3%
John Hay,English Language Learners,All Grades,SBAC,Math,36.4%
John Hay,Non-English Language Learners,All Grades,SBAC,ELA,68.3%
John Hay,Non-English Language Learners,All Grades,SBAC,Math,54.5%
John Hay,Low-Income,All Grades,SBAC,ELA,34.3%
John Hay,Low-Income,All Grades,SBAC,Math,36.1%
John Hay,Non-Low Income,All Grades,SBAC,ELA,73.6%
John Hay,Non-Low Income,All Grades,SBAC,Math,57.5%
John Hay,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,48.0%
John Hay,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,32.0%
John Hay,White,All Grades,SBAC,ELA,67.8%
John Hay,White,All Grades,SBAC,Math,55.9%
John Muir,All Students,All Grades,SBAC,ELA,37.5%
John Muir,All Students,All Grades,SBAC,Math,37.5%
John Muir,English Language Learners,All Grades,SBAC,ELA,13.3%
John Muir,English Language Learners,All Grades,SBAC,Math,17.8%
John Muir,Non-English Language Learners,All Grades,SBAC,ELA,49.5%
John Muir,Non-English Language Learners,All Grades,SBAC,Math,47.3%
John Muir,Low-Income,All Grades,SBAC,ELA,11.3%
John Muir,Low-Income,All Grades,SBAC,Math,18.8%
John Muir,Non-Low Income,All Grades,SBAC,ELA,75.0%
John Muir,Non-Low Income,All Grades,SBAC,Math,64.3%
John Muir,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,13.6%
John Muir,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,22.7%
John Muir,White,All Grades,SBAC,Math,70.6%
John Muir,White,All Grades,SBAC,ELA,85.3%
John Rogers,All Students,All Grades,SBAC,ELA,51.8%
John Rogers,All Students,All Grades,SBAC,Math,55.4%
John Rogers,English Language Learners,All Grades,SBAC,Math,17.4%
John Rogers,English Language Learners,All Grades,SBAC,ELA,13.0%
John Rogers,Non-English Language Learners,All Grades,SBAC,Math,70.0%
John Rogers,Non-English Language Learners,All Grades,SBAC,ELA,66.7%
John Rogers,Low-Income,All Grades,SBAC,ELA,21.6%
John Rogers,Low-Income,All Grades,SBAC,Math,24.3%
John Rogers,Non-Low Income,All Grades,SBAC,ELA,76.1%
John Rogers,Non-Low Income,All Grades,SBAC,Math,80.4%
John Rogers,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,N<10
John Rogers,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,N<10
John Rogers,White,All Grades,SBAC,Math,75.7%
John Rogers,White,All Grades,SBAC,ELA,73.0%
John Stanford,All Students,All Grades,SBAC,ELA,87.1%
John Stanford,All Students,All Grades,SBAC,Math,90.7%
John Stanford,English Language Learners,All Grades,SBAC,ELA,37.5%
John Stanford,English Language Learners,All Grades,SBAC,Math,62.5%
John Stanford,Non-English Language Learners,All Grades,SBAC,ELA,91.5%
John Stanford,Non-English Language Learners,All Grades,SBAC,Math,93.2%
John Stanford,Low-Income,All Grades,SBAC,ELA,50.0%
John Stanford,Low-Income,All Grades,SBAC,Math,56.3%
John Stanford,Non-Low Income,All Grades,SBAC,ELA,90.4%
John Stanford,Non-Low Income,All Grades,SBAC,Math,93.8%
John Stanford,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,85.2%
John Stanford,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,85.2%
John Stanford,White,All Grades,SBAC,ELA,93.6%
John Stanford,White,All Grades,SBAC,Math,92.3%
Kimball,All Students,All Grades,SBAC,ELA,42.4%
Kimball,All Students,All Grades,SBAC,Math,42.7%
Kimball,English Language Learners,All Grades,SBAC,ELA,22.1%
Kimball,English Language Learners,All Grades,SBAC,Math,29.0%
Kimball,Non-English Language Learners,All Grades,SBAC,ELA,53.7%
Kimball,Non-English Language Learners,All Grades,SBAC,Math,50.4%
Kimball,Low-Income,All Grades,SBAC,ELA,20.8%
Kimball,Low-Income,All Grades,SBAC,Math,24.7%
Kimball,Non-Low Income,All Grades,SBAC,Math,61.1%
Kimball,Non-Low Income,All Grades,SBAC,ELA,64.2%
Kimball,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,21.9%
Kimball,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,24.2%
Kimball,White,All Grades,SBAC,Math,64.4%
Kimball,White,All Grades,SBAC,ELA,75.6%
Lafayette,All Students,All Grades,SBAC,Math,70.7%
Lafayette,All Students,All Grades,SBAC,ELA,67.8%
Lafayette,English Language Learners,All Grades,SBAC,Math,54.6%
Lafayette,English Language Learners,All Grades,SBAC,ELA,40.0%
Lafayette,Non-English Language Learners,All Grades,SBAC,Math,71.5%
Lafayette,Non-English Language Learners,All Grades,SBAC,ELA,69.1%
Lafayette,Low-Income,All Grades,SBAC,ELA,42.5%
Lafayette,Low-Income,All Grades,SBAC,Math,45.0%
Lafayette,Non-Low Income,All Grades,SBAC,Math,76.0%
Lafayette,Non-Low Income,All Grades,SBAC,ELA,73.2%
Lafayette,Hispanic/ Latino of any race(s),All Grades,SBAC,ELA,50.0%
Lafayette,Hispanic/ Latino of any race(s),All Grades,SBAC,Math,56.7%
Lafayette,White,All Grades,SBAC,ELA,70.8%
Lafayette,White,All Grades,SBAC,Math,74.5%
Laurelhurst,All Students,All Grades,SBAC,ELA,65.6%
Laurelhurst,All Students,All Grades,SBAC,Math,58.7%
Laurelhurst,English Language Learners,All Grades,SBAC,ELA,41.2%
Laurelhurst,English Language Learners,All Grades,SBAC,Math,36.8%
Laurelhurst,Non-English Language Learners,All Grades,SBAC,ELA,69.6%
Laurelhurst,Non-English Language Learners,All Grades,SBAC,Math,62.8%
Laurelhurst,Low-Income,All Grades,SBAC,ELA,42.5%
Laurelhurst,Low-Income,All Grades,SBAC,Math,31.7%
Laurelhurst,Non-Low Income,All Grades,SBAC,ELA,77.2%
Laurelhurst,Non-Low Income,All Grades,SBAC,Math,72.5%
